Interval Start Time,day of week,Team Name,Calls_Responsible,Handled,Calls Handled < Service Level,Calls Handled > Service Level,Abandoned_at_Fault
2020-09-01 07:00:00,Tuesday,Team1,7,7,6,1,0
2020-09-01 07:00:00,Tuesday,Team2,2,2,2,0,0
2020-09-01 07:30:00,Tuesday,Team1,8,5,1,4,3
2020-09-01 07:30:00,Tuesday,Team3,3,2,2,0,1
2020-09-01 07:30:00,Tuesday,Team2,1,1,1,0,0
2020-09-01 07:30:00,Tuesday,Team4,1,1,1,0,0
2020-09-01 08:00:00,Tuesday,Team1,9,9,9,0,0
2020-09-01 08:00:00,Tuesday,Team3,3,3,1,2,0
2020-09-01 08:00:00,Tuesday,Team2,2,2,2,0,0
2020-09-01 08:00:00,Tuesday,Team5,1,1,1,0,0
2020-09-01 08:00:00,Tuesday,Team4,2,2,2,0,0
2020-09-01 08:30:00,Tuesday,Team6,1,1,1,0,0
2020-09-01 08:30:00,Tuesday,Team1,13,12,8,4,1
2020-09-01 08:30:00,Tuesday,Team3,2,2,2,0,0
2020-09-01 08:30:00,Tuesday,Team2,3,3,3,0,0
2020-09-01 08:30:00,Tuesday,Team4,4,4,3,1,0
2020-09-01 08:30:00,Tuesday,Team7,1,1,1,0,0
2020-09-01 09:00:00,Tuesday,Team1,24,21,7,14,3
2020-09-01 09:00:00,Tuesday,Team3,2,2,2,0,0
2020-09-01 09:00:00,Tuesday,Team2,2,2,2,0,0
2020-09-01 09:00:00,Tuesday,Team5,1,1,1,0,0
2020-09-01 09:00:00,Tuesday,Team4,5,5,5,0,0
2020-09-01 09:30:00,Tuesday,Team1,12,11,3,8,1
2020-09-01 09:30:00,Tuesday,Team3,3,3,3,0,0
2020-09-01 09:30:00,Tuesday,Team2,5,5,5,0,0
2020-09-01 09:30:00,Tuesday,Team5,1,1,1,0,0
2020-09-01 09:30:00,Tuesday,Team4,2,2,2,0,0
2020-09-01 10:00:00,Tuesday,Team1,22,16,0,16,6
2020-09-01 10:00:00,Tuesday,Team3,3,3,3,0,0
2020-09-01 10:00:00,Tuesday,Team2,5,5,5,0,0
2020-09-01 10:00:00,Tuesday,Team8,1,1,1,0,0
2020-09-01 10:00:00,Tuesday,Team4,2,2,2,0,0
2020-09-01 10:00:00,Tuesday,Team7,1,1,1,0,0
2020-09-01 10:30:00,Tuesday,Team1,16,15,8,7,1
2020-09-01 10:30:00,Tuesday,Team3,5,5,5,0,0
2020-09-01 10:30:00,Tuesday,Team2,2,2,2,0,0
2020-09-01 10:30:00,Tuesday,Team5,2,2,2,0,0
2020-09-01 10:30:00,Tuesday,Team4,2,2,2,0,0
2020-09-01 11:00:00,Tuesday,Team1,14,12,7,5,2
2020-09-01 11:00:00,Tuesday,Team1,1,1,1,0,0
2020-09-01 11:00:00,Tuesday,Team3,1,1,1,0,0
2020-09-01 11:00:00,Tuesday,Team2,8,8,8,0,0
2020-09-01 11:00:00,Tuesday,Team5,3,3,3,0,0
2020-09-01 11:00:00,Tuesday,Team4,4,4,4,0,0
2020-09-01 11:00:00,Tuesday,Team7,1,1,1,0,0
2020-09-01 11:30:00,Tuesday,Team1,24,19,5,14,5
2020-09-01 11:30:00,Tuesday,Team3,5,5,5,0,0
2020-09-01 11:30:00,Tuesday,Team2,5,5,5,0,0
2020-09-01 11:30:00,Tuesday,Team5,3,3,3,0,0
2020-09-01 12:00:00,Tuesday,Team1,15,11,0,11,4
2020-09-01 12:00:00,Tuesday,Team3,5,5,5,0,0
2020-09-01 12:00:00,Tuesday,Team2,6,6,5,1,0
2020-09-01 12:00:00,Tuesday,Team9,1,1,1,0,0
2020-09-01 12:00:00,Tuesday,Team8,1,1,1,0,0
2020-09-01 12:00:00,Tuesday,Team5,2,2,2,0,0
2020-09-01 12:00:00,Tuesday,Team4,6,6,4,2,0
2020-09-01 12:00:00,Tuesday,Team7,2,2,2,0,0
2020-09-01 12:30:00,Tuesday,Team6,1,1,1,0,0
2020-09-01 12:30:00,Tuesday,Team1,23,20,3,17,3
2020-09-01 12:30:00,Tuesday,Team3,3,3,3,0,0
2020-09-01 12:30:00,Tuesday,Team2,10,10,10,0,0
2020-09-01 12:30:00,Tuesday,Team5,1,1,1,0,0
2020-09-01 12:30:00,Tuesday,Team4,4,4,3,1,0
2020-09-01 13:00:00,Tuesday,Team6,2,2,2,0,0
2020-09-01 13:00:00,Tuesday,Team1,8,8,4,4,0
2020-09-01 13:00:00,Tuesday,Team3,5,5,5,0,0
2020-09-01 13:00:00,Tuesday,Team2,4,4,4,0,0
2020-09-01 13:00:00,Tuesday,Team4,5,5,5,0,0
2020-09-01 13:00:00,Tuesday,Team7,3,3,1,2,0
2020-09-01 13:30:00,Tuesday,Team1,12,12,11,1,0
2020-09-01 13:30:00,Tuesday,Team3,3,3,3,0,0
2020-09-01 13:30:00,Tuesday,Team2,6,6,6,0,0
2020-09-01 13:30:00,Tuesday,Team5,0,0,0,0,0
2020-09-01 13:30:00,Tuesday,Team4,4,4,2,2,0
2020-09-01 14:00:00,Tuesday,Team1,20,17,3,14,3
2020-09-01 14:00:00,Tuesday,Team3,5,5,4,1,0
2020-09-01 14:00:00,Tuesday,Team2,7,7,7,0,0
2020-09-01 14:00:00,Tuesday,Team9,1,1,1,0,0
2020-09-01 14:00:00,Tuesday,Team8,2,2,2,0,0
2020-09-01 14:00:00,Tuesday,Team4,5,5,4,1,0
2020-09-01 14:30:00,Tuesday,Team1,7,5,0,5,2
2020-09-01 14:30:00,Tuesday,Team3,5,5,5,0,0
2020-09-01 14:30:00,Tuesday,Team2,7,7,7,0,0
2020-09-01 14:30:00,Tuesday,Team9,1,1,1,0,0
2020-09-01 14:30:00,Tuesday,Team5,2,2,1,1,0
2020-09-01 14:30:00,Tuesday,Team4,4,4,2,2,0
2020-09-01 15:00:00,Tuesday,Team6,1,1,1,0,0
2020-09-01 15:00:00,Tuesday,Team1,16,16,12,4,0
2020-09-01 15:00:00,Tuesday,Team3,3,3,3,0,0
2020-09-01 15:00:00,Tuesday,Team2,9,9,8,1,0
2020-09-01 15:00:00,Tuesday,Team5,3,3,3,0,0
2020-09-01 15:00:00,Tuesday,Team4,2,2,1,1,0
2020-09-01 15:30:00,Tuesday,Team1,20,19,11,8,1
2020-09-01 15:30:00,Tuesday,Team3,5,5,5,0,0
2020-09-01 15:30:00,Tuesday,Team2,4,4,3,1,0
2020-09-01 15:30:00,Tuesday,Team4,5,5,4,1,0
2020-09-01 15:30:00,Tuesday,Team7,1,1,1,0,0
2020-09-01 16:00:00,Tuesday,Team6,2,2,1,1,0
2020-09-01 16:00:00,Tuesday,Team1,10,10,6,4,0
2020-09-01 16:00:00,Tuesday,Team2,3,3,3,0,0
2020-09-01 16:00:00,Tuesday,Team8,1,1,1,0,0
2020-09-01 16:00:00,Tuesday,Team4,1,0,0,0,1
2020-09-01 16:30:00,Tuesday,Team1,9,6,2,4,3
2020-09-01 16:30:00,Tuesday,Team3,0,0,0,0,0
2020-09-01 16:30:00,Tuesday,Team2,1,1,1,0,0
2020-09-01 16:30:00,Tuesday,Team5,1,1,1,0,0
2020-09-01 17:00:00,Tuesday,Team1,6,2,1,1,4
2020-09-01 17:00:00,Tuesday,Team2,1,1,1,0,0
2020-09-01 17:00:00,Tuesday,Team9,1,1,1,0,0
2020-09-01 17:30:00,Tuesday,Team1,3,2,0,2,1
2020-09-01 17:30:00,Tuesday,Team3,2,2,2,0,0
2020-09-01 17:30:00,Tuesday,Team4,1,1,1,0,0
2020-09-01 18:00:00,Tuesday,Team1,1,1,1,0,0
2020-09-01 18:00:00,Tuesday,Team2,1,1,1,0,0
2020-09-01 18:30:00,Tuesday,Team1,2,2,2,0,0
2020-09-01 18:30:00,Tuesday,Team2,3,3,3,0,0
2020-09-02 07:00:00,Wednesday,Team1,1,1,1,0,0
2020-09-02 07:30:00,Wednesday,Team6,1,1,1,0,0
2020-09-02 07:30:00,Wednesday,Team1,4,4,4,0,0
2020-09-02 07:30:00,Wednesday,Team2,1,1,1,0,0
2020-09-02 07:30:00,Wednesday,Team4,1,1,1,0,0
2020-09-02 07:30:00,Wednesday,Team7,2,2,2,0,0
2020-09-02 08:00:00,Wednesday,Team1,2,2,2,0,0
2020-09-02 08:00:00,Wednesday,Team3,3,3,3,0,0
2020-09-02 08:00:00,Wednesday,Team2,2,2,2,0,0
2020-09-02 08:00:00,Wednesday,Team4,1,1,1,0,0
2020-09-02 08:30:00,Wednesday,Team1,12,12,6,6,0
2020-09-02 08:30:00,Wednesday,Team3,3,3,3,0,0
2020-09-02 08:30:00,Wednesday,Team2,5,5,5,0,0
2020-09-02 08:30:00,Wednesday,Team5,1,1,1,0,0
2020-09-02 08:30:00,Wednesday,Team4,2,2,2,0,0
2020-09-02 08:30:00,Wednesday,Team7,4,4,3,1,0
2020-09-02 09:00:00,Wednesday,Team1,9,9,8,1,0
